Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MT-TS1","Mitochondrially Encoded TRNA-Ser (UCN) 1","RNA Gene","15","GCMTM007447","57.3508071899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS1"
"BCS1L","BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone","Protein Coding","44","GC02P218658","57.1849899291992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCS1L"
"DGUOK","Deoxyguanosine Kinase","Protein Coding","42","GC02P073926","56.1445617675781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGUOK"
"NDUFS4","NADH:Ubiquinone Oxidoreductase Subunit S4","Protein Coding","42","GC05P053560","55.6448402404785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS4"
"NDUFV1","NADH:Ubiquinone Oxidoreductase Core Subunit V1","Protein Coding","44","GC11P070169","54.5245895385742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV1"
"MT-TE","Mitochondrially Encoded TRNA-Glu (GAA/G)","RNA Gene","13","GCMTM014676","53.7477073669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TE"
"MPV17","Mitochondrial Inner Membrane Protein MPV17","Protein Coding","41","GC02M027309","53.691722869873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPV17"
"RRM2B","Ribonucleotide Reductase Regulatory TP53 Inducible Subunit M2B","Protein Coding","47","GC08M102204","53.4403839111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRM2B"
"TYMP","Thymidine Phosphorylase","Protein Coding","45","GC22M050525","53.0663414001465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"NDUFS1","NADH:Ubiquinone Oxidoreductase Core Subunit S1","Protein Coding","44","GC02M206114","52.5100555419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS1"
"SUCLA2","Succinate-CoA Ligase ADP-Forming Subunit Beta","Protein Coding","45","GC13M047745","51.5942153930664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2"
"FOXRED1","FAD Dependent Oxidoreductase Domain Containing 1","Protein Coding","39","GC11P126269","51.5526351928711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXRED1"
"NDUFS2","NADH:Ubiquinone Oxidoreductase Core Subunit S2","Protein Coding","43","GC01P161197","51.1654586791992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS2"
"SCO2","Synthesis Of Cytochrome C Oxidase 2","Protein Coding","43","GC22M050523","50.8018417358398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCO2"
"HADHA","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha","Protein Coding","45","GC02M026190","50.7878723144531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA"
"TMEM70","Transmembrane Protein 70","Protein Coding","38","GC08P073972","50.6135864257813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM70"
"MT-TI","Mitochondrially Encoded TRNA-Ile (AUU/C)","RNA Gene","13","GCMTP004265","49.0137062072754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TI"
"MT-ATP8","Mitochondrially Encoded ATP Synthase Membrane Subunit 8","Protein Coding","30","GCMTP008368","48.8533592224121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP8"
"MT-RNR1","Mitochondrially Encoded 12S RRNA","RNA Gene","17","GCMTP000642","48.8369331359863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR1"
"MT-TW","Mitochondrially Encoded TRNA-Trp (UGA/G)","RNA Gene","13","GCMTP005514","48.6620101928711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TW"
"NDUFAF5","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 5","Protein Coding","34","GC20P013899","48.3047637939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF5"
"NDUFS7","NADH:Ubiquinone Oxidoreductase Core Subunit S7","Protein Coding","45","GC19P002876","48.2859954833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS7"
"SURF1","SURF1 Cytochrome C Oxidase Assembly Factor","Protein Coding","41","GC09M133351","48.2497596740723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1"
"MT-TF","Mitochondrially Encoded TRNA-Phe (UUU/C)","RNA Gene","14","GCMTP000580","47.9581909179688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TF"
"SUCLG1","Succinate-CoA Ligase GDP/ADP-Forming Subunit Alpha","Protein Coding","44","GC02M084423","47.9047470092773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1"
"TFAM","Transcription Factor A, Mitochondrial","Protein Coding","42","GC10P058385","47.7397193908691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAM"
"FBXL4","F-Box And Leucine Rich Repeat Protein 4","Protein Coding","38","GC06M098868","47.4634323120117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL4"
"MT-TV","Mitochondrially Encoded TRNA-Val (GUN)","RNA Gene","14","GCMTP001605","47.4117126464844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TV"
"NDUFS8","NADH:Ubiquinone Oxidoreductase Core Subunit S8","Protein Coding","44","GC11P068030","46.5156669616699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS8"
"NUBPL","NUBP Iron-Sulfur Cluster Assembly Factor, Mitochondrial","Protein Coding","40","GC14P031489","46.3746948242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUBPL"
"MT-TL2","Mitochondrially Encoded TRNA-Leu (CUN) 2","RNA Gene","13","GCMTP012268","46.2909507751465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL2"
"NDUFV2","NADH:Ubiquinone Oxidoreductase Core Subunit V2","Protein Coding","42","GC18P009092","46.1567077636719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV2"
"NDUFAF2","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 2","Protein Coding","38","GC05P060945","46.0743827819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF2"
"MTO1","Mitochondrial TRNA Translation Optimization 1","Protein Coding","41","GC06P073461","46.05078125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTO1"
"MT-TT","Mitochondrially Encoded TRNA-Thr (ACN)","RNA Gene","16","GCMTP015890","45.6902236938477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TT"
"MT-TH","Mitochondrially Encoded TRNA-His (CAU/C)","RNA Gene","14","GCMTP012140","45.6029853820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TH"
"POLG2","DNA Polymerase Gamma 2, Accessory Subunit","Protein Coding","41","GC17M064477","45.4565544128418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG2"
"NDUFS3","NADH:Ubiquinone Oxidoreductase Core Subunit S3","Protein Coding","45","GC11P047567","45.289234161377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS3"
"ACAD9","Acyl-CoA Dehydrogenase Family Member 9","Protein Coding","43","GC03P134206","44.6736450195313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD9"
"NDUFAF1","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 1","Protein Coding","40","GC15M041387","44.5691719055176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF1"
"DNM1L","Dynamin 1 Like","Protein Coding","46","GC12P032679","44.1599044799805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"MT-TN","Mitochondrially Encoded TRNA-Asn (AAU/C)","RNA Gene","13","GCMTM005659","43.6952590942383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TN"
"MT-ND4L","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 4L","Protein Coding","28","GCMTP010472","43.380672454834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND4L"
"COX10","Cytochrome C Oxidase Assembly Factor Heme A:Farnesyltransferase COX10","Protein Coding","42","GC17P014069","43.3268127441406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX10"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","42","GC11P112087","42.9124794006348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","46","GC01M018063","42.7185134887695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"NDUFS6","NADH:Ubiquinone Oxidoreductase Subunit S6","Protein Coding","42","GC05P001801","42.6204528808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS6"
"MT-TS2","Mitochondrially Encoded TRNA-Ser (AGU/C) 2","RNA Gene","13","GCMTP012215","42.0811233520508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS2"
"COX5A","Cytochrome C Oxidase Subunit 5A","Protein Coding","42","GC15M074919","42.0705146789551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","10","GCMTM015957","41.6311950683594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"NDUFAF4","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 4","Protein Coding","41","GC06M096889","41.6109848022461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF4"
"OPA1","OPA1 Mitochondrial Dynamin Like GTPase","Protein Coding","44","GC03P193594","41.4600563049316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPA1"
"MT-TA","Mitochondrially Encoded TRNA-Ala (GCN)","RNA Gene","12","GCMTM005589","41.0290832519531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TA"
"TIMMDC1","Translocase Of Inner Mitochondrial Membrane Domain Containing 1","Protein Coding","36","GC03P119498","40.420108795166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMMDC1"
"COX4I1","Cytochrome C Oxidase Subunit 4I1","Protein Coding","44","GC16P085798","39.9792213439941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX4I1"
"TMEM126B","Transmembrane Protein 126B","Protein Coding","38","GC11P085628","39.364688873291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM126B"
"NDUFAF3","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 3","Protein Coding","40","GC03P049020","39.3315200805664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF3"
"MT-TQ","Mitochondrially Encoded TRNA-Gln (CAA/G)","RNA Gene","13","GCMTM004331","39.2998733520508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TQ"
"COX15","Cytochrome C Oxidase Assembly Homolog COX15","Protein Coding","41","GC10M099696","39.0367698669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX15"
"NDUFA6","NADH:Ubiquinone Oxidoreductase Subunit A6","Protein Coding","43","GC22M042085","38.8587989807129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA6"
"TTC19","Tetratricopeptide Repeat Domain 19","Protein Coding","40","GC17P015999","38.7736015319824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC19"
"NDUFA10","NADH:Ubiquinone Oxidoreductase Subunit A10","Protein Coding","43","GC02M239893","38.7492942810059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA10"
"NDUFAF6","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 6","Protein Coding","33","GC08P094895","38.5635681152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF6"
"HADHB","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta","Protein Coding","45","GC02P026243","38.5584297180176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHB"
"NDUFB3","NADH:Ubiquinone Oxidoreductase Subunit B3","Protein Coding","41","GC02P201071","38.4617767333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB3"
"TACO1","Translational Activator Of Cytochrome C Oxidase I","Protein Coding","39","GC17P063600","38.0978622436523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACO1"
"NDUFA11","NADH:Ubiquinone Oxidoreductase Subunit A11","Protein Coding","37","GC19M005891","37.874137878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA11"
"NDUFB10","NADH:Ubiquinone Oxidoreductase Subunit B10","Protein Coding","42","GC16P011690","37.867000579834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB10"
"NDUFB11","NADH:Ubiquinone Oxidoreductase Subunit B11","Protein Coding","38","GC0XM047142","37.8477973937988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB11"
"NDUFA1","NADH:Ubiquinone Oxidoreductase Subunit A1","Protein Coding","43","GC0XP119871","37.7729988098145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA1"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","46","GC0XM130129","37.7357521057129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"IBA57","Iron-Sulfur Cluster Assembly Factor IBA57","Protein Coding","34","GC01P228165","37.2385787963867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IBA57"
"NDUFA13","NADH:Ubiquinone Oxidoreductase Subunit A13","Protein Coding","43","GC19P019515","37.0521850585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA13"
"NDUFB9","NADH:Ubiquinone Oxidoreductase Subunit B9","Protein Coding","43","GC08P124539","36.6202926635742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB9"
"LRPPRC","Leucine Rich Pentatricopeptide Repeat Containing","Protein Coding","42","GC02M043886","36.5553588867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPPRC"
"TSFM","Ts Translation Elongation Factor, Mitochondrial","Protein Coding","42","GC12P057778","36.2519989013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSFM"
"ATP5F1E","ATP Synthase F1 Subunit Epsilon","Protein Coding","34","GC20M059026","35.7326583862305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1E"
"COA3","Cytochrome C Oxidase Assembly Factor 3","Protein Coding","33","GC17M042795","34.8332824707031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA3"
"MTFMT","Mitochondrial Methionyl-TRNA Formyltransferase","Protein Coding","40","GC15M065001","34.725414276123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTFMT"
"CHCHD10","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 10","Protein Coding","38","GC22M023765","34.3327865600586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD10"
"NDUFAF8","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 8","Protein Coding","24","GC17P081241","34.3040733337402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF8"
"ATP5F1A","ATP Synthase F1 Subunit Alpha","Protein Coding","36","GC18M046081","34.0667877197266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1A"
"SDHAF1","Succinate Dehydrogenase Complex Assembly Factor 1","Protein Coding","34","GC19P035995","34.0283126831055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHAF1"
"UQCRC2","Ubiquinol-Cytochrome C Reductase Core Protein 2","Protein Coding","45","GC16P022240","34.0203552246094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRC2"
"FASTKD2","FAST Kinase Domains 2","Protein Coding","38","GC02P206766","33.8149795532227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTKD2"
"MGME1","Mitochondrial Genome Maintenance Exonuclease 1","Protein Coding","33","GC20P017952","33.7280807495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGME1"
"ECHS1","Enoyl-CoA Hydratase, Short Chain 1","Protein Coding","45","GC10M133362","33.4672660827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECHS1"
"UQCRQ","Ubiquinol-Cytochrome C Reductase Complex III Subunit VII","Protein Coding","40","GC05P132866","33.291389465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRQ"
"MT-TR","Mitochondrially Encoded TRNA-Arg (CGN)","RNA Gene","12","GCMTP010407","33.2711410522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TR"
"HSD17B10","Hydroxysteroid 17-Beta Dehydrogenase 10","Protein Coding","44","GC0XM053431","32.9615058898926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10"
"PET100","PET100 Cytochrome C Oxidase Chaperone","Protein Coding","30","GC19P007853","32.9378318786621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PET100"
"TFB1M","Transcription Factor B1, Mitochondrial","Protein Coding","41","GC06M155247","32.9055519104004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFB1M"
"MRPS34","Mitochondrial Ribosomal Protein S34","Protein Coding","36","GC16M001771","32.6638946533203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS34"
"SCO1","Synthesis Of Cytochrome C Oxidase 1","Protein Coding","45","GC17M010672","32.574031829834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCO1"
"UQCRB","Ubiquinol-Cytochrome C Reductase Binding Protein","Protein Coding","42","GC08M096225","32.4424514770508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRB"
"MT-TM","Mitochondrially Encoded TRNA-Met (AUA/G)","RNA Gene","12","GCMTP004404","32.3657836914063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TM"
"NFU1","NFU1 Iron-Sulfur Cluster Scaffold","Protein Coding","41","GC02M069395","32.1641235351563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFU1"
"COX6B1","Cytochrome C Oxidase Subunit 6B1","Protein Coding","41","GC19P066543","32.1092491149902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6B1"
"YARS2","Tyrosyl-TRNA Synthetase 2","Protein Coding","43","GC12M032801","31.4295291900635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YARS2"
"UQCRFS1","Ubiquinol-Cytochrome C Reductase, Rieske Iron-Sulfur Polypeptide 1","Protein Coding","45","GC19M029205","30.8614501953125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRFS1"
"NDUFA9","NADH:Ubiquinone Oxidoreductase Subunit A9","Protein Coding","42","GC12P004649","30.7157135009766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA9"
"CYCS","Cytochrome C, Somatic","Protein Coding","46","GC07M025118","30.5270957946777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"MT-RNR2","Mitochondrially Encoded 16S RRNA","RNA Gene","19","GCMTP001674","30.4560489654541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR2"
"NDUFC2","NADH:Ubiquinone Oxidoreductase Subunit C2","Protein Coding","40","GC11M078068","30.0863456726074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFC2"
"MRPL44","Mitochondrial Ribosomal Protein L44","Protein Coding","40","GC02P223957","29.9454860687256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL44"
"UQCC2","Ubiquinol-Cytochrome C Reductase Complex Assembly Factor 2","Protein Coding","34","GC06M033694","29.8622016906738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCC2"
"COA8","Cytochrome C Oxidase Assembly Factor 8","Protein Coding","26","GC14P109769","29.6886539459229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA8"
"BOLA3","BolA Family Member 3","Protein Coding","37","GC02M074136","29.5400543212891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOLA3"
"NDUFA12","NADH:Ubiquinone Oxidoreductase Subunit A12","Protein Coding","44","GC12M094898","29.5302982330322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA12"
"MT-TD","Mitochondrially Encoded TRNA-Asp (GAU/C)","RNA Gene","12","GCMTP007520","29.5150032043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TD"
"CYC1","Cytochrome C1","Protein Coding","44","GC08P144095","29.2679100036621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYC1"
"GFM1","G Elongation Factor Mitochondrial 1","Protein Coding","44","GC03P158644","29.0874652862549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFM1"
"ATPAF2","ATP Synthase Mitochondrial F1 Complex Assembly Factor 2","Protein Coding","38","GC17M017977","29.0405540466309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATPAF2"
"ATP5F1D","ATP Synthase F1 Subunit Delta","Protein Coding","33","GC19P002854","28.9544696807861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1D"
"IARS2","Isoleucyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","40","GC01P220094","28.8708076477051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IARS2"
"SPG7","SPG7 Matrix AAA Peptidase Subunit, Paraplegin","Protein Coding","44","GC16P091303","28.8665752410889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPG7"
"PMPCB","Peptidase, Mitochondrial Processing Subunit Beta","Protein Coding","43","GC07P103297","28.8594875335693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCB"
"WARS2","Tryptophanyl TRNA Synthetase 2, Mitochondrial","Protein Coding","44","GC01M119031","28.6069927215576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WARS2"
"NDUFA4","NDUFA4 Mitochondrial Complex Associated","Protein Coding","42","GC07M010938","28.4690799713135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA4"
"GFM2","GTP Dependent Ribosome Recycling Factor Mitochondrial 2","Protein Coding","40","GC05M074721","28.3023548126221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFM2"
"GTPBP3","GTP Binding Protein 3, Mitochondrial","Protein Coding","40","GC19P066224","27.9344043731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTPBP3"
"NDUFB8","NADH:Ubiquinone Oxidoreductase Subunit B8","Protein Coding","41","GC10M100523","27.9114608764648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB8"
"NDUFA2","NADH:Ubiquinone Oxidoreductase Subunit A2","Protein Coding","41","GC05M140691","27.7945747375488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA2"
"SLC25A10","Solute Carrier Family 25 Member 10","Protein Coding","41","GC17P081712","27.6211643218994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A10"
"MRPL12","Mitochondrial Ribosomal Protein L12","Protein Coding","39","GC17P081704","27.4036178588867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL12"
"AGK","Acylglycerol Kinase","Protein Coding","40","GC07P141551","26.928539276123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGK"
"LYRM7","LYR Motif Containing 7","Protein Coding","36","GC05P131170","26.7453346252441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYRM7"
"MSTO1","Misato Mitochondrial Distribution And Morphology Regulator 1","Protein Coding","38","GC01P155565","26.6017417907715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTO1"
"GAREM2","GRB2 Associated Regulator Of MAPK1 Subtype 2","Protein Coding","25","GC02P026202","26.4523067474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAREM2"
"COX8A","Cytochrome C Oxidase Subunit 8A","Protein Coding","39","GC11P064049","26.4074878692627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX8A"
"SLC25A3","Solute Carrier Family 25 Member 3","Protein Coding","43","GC12P098593","26.402229309082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A3"
"POLRMT","RNA Polymerase Mitochondrial","Protein Coding","42","GC19M000617","26.3529243469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLRMT"
